1         2         3         
1         3         4         
5         6         2         
1         5         2         
4         7         8         
1         4         8         
1         8         5         
9         10        6         
6         5         9         
11        7         12        
7         11        8         
13        9         5         
5         8         13        
14        8         11        
14        13        8         
15        16        10        
10        9         15        
17        15        9         
9         13        17        
18        12        19        
12        18        11        
20        11        18        
14        11        20        
17        13        21        
14        20        21        
14        21        13        
22        23        16        
16        15        22        
24        25        23        
23        22        24        
26        22        15        
15        17        26        
27        26        17        
27        17        21        
28        19        29        
19        28        18        
30        18        28        
20        18        30        
30        31        20        
20        31        21        
32        27        21        
32        21        31        
33        34        25        
25        24        33        
35        36        34        
34        33        35        
37        24        22        
22        26        37        
38        33        24        
24        37        38        
39        37        26        
26        27        39        
40        39        27        
32        40        27        
41        29        42        
29        41        28        
43        28        41        
28        43        30        
30        43        44        
31        30        44        
31        44        45        
32        31        45        
32        45        40        
46        42        47        
42        46        41        
48        49        36        
36        35        48        
50        35        33        
33        38        50        
51        48        35        
35        50        51        
52        38        37        
37        39        52        
53        50        38        
38        52        53        
54        52        39        
39        40        54        
55        54        40        
40        45        55        
56        41        46        
41        56        43        
57        43        56        
57        44        43        
58        44        57        
58        45        44        
59        45        58        
59        55        45        
60        47        61        
47        60        46        
62        46        60        
46        62        56        
63        61        64        
61        63        60        
65        66        49        
49        48        65        
67        68        66        
66        65        67        
69        65        48        
48        51        69        
70        51        50        
50        53        70        
71        69        51        
51        70        71        
72        53        52        
52        54        72        
73        70        53        
53        72        73        
74        72        54        
54        55        74        
55        75        74        
59        75        55        
76        56        62        
56        76        57        
77        57        76        
57        77        58        
78        58        77        
59        58        78        
59        78        75        
62        79        76        
80        60        63        
60        80        62        
79        62        80        
81        64        82        
64        81        63        
83        63        81        
63        83        80        
84        82        85        
82        84        81        
86        87        68        
68        67        86        
88        89        87        
88        87        86        
90        67        65        
65        69        90        
86        67        91        
67        90        91        
92        90        69        
69        71        92        
93        71        70        
70        73        93        
94        92        71        
71        93        94        
95        73        72        
72        74        95        
96        93        73        
73        95        96        
97        95        74        
97        74        75        
98        97        75        
98        75        99        
78        99        75        
100       76        79        
76        100       77        
101       77        100       
77        101       78        
99        78        101       
79        102       100       
103       80        83        
80        103       79        
102       79        103       
104       81        84        
81        104       83        
105       83        104       
83        105       103       
106       85        107       
85        106       84        
108       84        106       
84        108       104       
107       109       106       
109       107       110       
89        111       112       
89        88        111       
113       112       111       
113       114       112       
115       88        86        
115       86        91        
116       111       88        
116       88        115       
117       91        90        
90        92        117       
118       91        117       
119       115       91        
118       119       91        
117       92        120       
92        94        120       
121       94        93        
93        96        121       
122       120       94        
122       94        121       
123       96        95        
95        97        123       
124       121       96        
124       96        123       
125       123       97        
98        125       97        
98        99        126       
98        126       125       
101       127       99        
99        127       126       
128       100       102       
100       128       101       
127       101       128       
102       129       128       
130       103       105       
103       130       102       
129       102       130       
131       104       108       
104       131       105       
132       105       131       
105       132       130       
133       106       109       
106       133       108       
134       108       133       
108       134       131       
109       135       133       
136       110       137       
110       136       109       
135       109       136       
138       136       137       
138       137       139       
116       140       111       
113       111       141       
141       111       140       
113       142       114       
113       141       142       
116       115       143       
119       143       115       
116       143       140       
118       117       144       
117       120       144       
119       145       143       
118       144       145       
119       118       145       
146       144       120       
147       120       122       
146       120       147       
121       148       122       
148       121       124       
149       147       122       
149       122       148       
123       150       124       
123       125       150       
151       124       150       
124       151       148       
152       150       125       
125       126       152       
153       152       126       
154       126       127       
153       126       154       
155       128       129       
128       155       127       
154       127       155       
129       156       155       
157       130       132       
130       157       129       
156       129       157       
132       158       157       
159       131       134       
131       159       132       
158       132       159       
160       159       134       
133       135       161       
134       133       161       
160       134       161       
162       161       135       
138       163       136       
136       163       135       
162       135       163       
138       139       164       
138       164       163       
140       143       165       
140       166       141       
166       140       165       
141       167       142       
167       141       166       
165       143       168       
145       168       143       
145       169       168       
145       144       169       
146       169       144       
146       170       169       
146       147       170       
147       171       170       
149       171       147       
149       148       172       
149       172       171       
148       151       172       
173       172       151       
150       174       151       
152       174       150       
173       151       174       
175       174       152       
175       152       153       
175       153       176       
153       154       177       
176       153       177       
178       155       156       
155       178       154       
177       154       178       
179       178       156       
157       158       180       
156       157       180       
179       156       180       
181       180       158       
160       182       159       
159       182       158       
181       158       182       
160       161       183       
160       183       182       
162       184       161       
184       183       161       
162       163       185       
162       185       184       
186       163       164       
186       185       163       
168       187       165       
165       188       166       
188       165       187       
166       189       167       
189       166       188       
187       168       190       
168       169       190       
191       190       169       
170       191       169       
170       192       191       
192       170       171       
171       193       192       
171       172       193       
194       193       172       
173       194       172       
173       195       194       
173       174       195       
175       176       196       
175       196       174       
196       195       174       
197       196       176       
176       177       198       
197       176       198       
179       199       178       
178       199       177       
198       177       199       
179       200       199       
179       180       200       
181       201       180       
201       200       180       
181       182       202       
181       202       201       
183       203       182       
202       182       203       
204       183       184       
183       204       203       
184       185       205       
184       205       204       
185       186       206       
185       206       205       
190       207       187       
187       208       188       
208       187       207       
188       209       189       
209       188       208       
207       190       210       
191       210       190       
210       191       211       
192       211       191       
192       212       211       
193       212       192       
193       213       212       
194       213       193       
194       214       213       
195       214       194       
195       215       214       
196       215       195       
197       215       196       
197       198       216       
197       216       215       
198       199       217       
198       217       216       
200       218       199       
217       199       218       
200       201       219       
219       218       200       
201       202       220       
220       219       201       
202       203       221       
221       220       202       
203       204       222       
222       221       203       
204       205       223       
223       222       204       
205       206       224       
224       223       205       
210       225       207       
207       226       208       
226       207       225       
208       227       209       
227       208       226       
225       210       228       
211       228       210       
228       211       229       
212       229       211       
229       212       230       
213       230       212       
213       231       230       
214       231       213       
214       232       231       
215       232       214       
215       216       232       
216       217       233       
233       232       216       
217       218       234       
234       233       217       
218       219       235       
235       234       218       
219       220       236       
236       235       219       
220       221       237       
237       236       220       
221       222       238       
238       237       221       
222       223       239       
239       238       222       
223       224       240       
240       239       223       
228       241       225       
225       242       226       
242       225       241       
226       243       227       
243       226       242       
241       228       244       
229       244       228       
244       229       245       
230       245       229       
245       230       246       
246       230       231       
246       231       247       
247       231       232       
248       247       232       
248       232       233       
233       234       249       
248       233       249       
234       235       250       
250       249       234       
235       236       251       
251       250       235       
236       237       252       
252       251       236       
237       238       253       
253       252       237       
238       239       254       
254       253       238       
239       240       255       
255       254       239       
244       256       241       
241       257       242       
257       241       256       
242       258       243       
258       242       257       
256       244       259       
245       259       244       
259       245       260       
246       260       245       
261       260       246       
247       261       246       
248       249       262       
248       262       247       
261       247       262       
249       250       263       
249       263       262       
250       251       264       
264       263       250       
251       252       265       
265       264       251       
252       253       266       
266       265       252       
253       254       267       
267       266       253       
254       255       268       
268       267       254       
259       269       256       
256       270       257       
270       256       269       
257       271       258       
271       257       270       
269       259       272       
260       272       259       
272       260       273       
260       261       273       
274       273       261       
274       261       262       
263       275       262       
274       262       275       
263       264       276       
276       275       263       
264       265       277       
277       276       264       
265       266       278       
278       277       265       
266       267       279       
279       278       266       
267       268       280       
280       279       267       
272       281       269       
269       282       270       
282       269       281       
270       283       271       
283       270       282       
272       284       281       
273       284       272       
284       273       285       
274       285       273       
274       275       285       
275       276       286       
286       285       275       
276       277       287       
287       286       276       
277       278       288       
288       287       277       
278       279       289       
289       288       278       
279       280       290       
290       289       279       
291       281       284       
281       292       282       
292       281       291       
282       293       283       
293       282       292       
294       291       284       
294       284       285       
295       294       285       
295       285       286       
286       287       296       
295       286       296       
287       288       297       
297       296       287       
288       289       298       
298       297       288       
289       290       299       
299       298       289       
291       294       300       
291       301       292       
300       301       291       
292       302       293       
302       292       301       
300       294       303       
295       296       303       
295       303       294       
296       297       304       
296       304       303       
297       298       305       
305       304       297       
298       299       306       
306       305       298       
307       300       303       
301       300       308       
307       308       300       
301       309       302       
308       309       301       
304       310       303       
307       303       310       
304       305       311       
311       310       304       
305       306       312       
312       311       305       
307       313       308       
307       310       313       
309       308       314       
314       308       313       
310       311       315       
315       313       310       
311       312       316       
316       315       311       
317       313       315       
314       313       318       
317       318       313       
315       316       319       
317       315       319       
317       319       320       
317       320       318       
